Sample,Sample timing,Township,Field,Location ID,Area,Distance,Category,Crop,Year,Date collected,%L-Tox,%AF36,%L-atox,%S,%tamarii,cfu/g,CFU L-tox,CFU AF36,CFU S,CFU tamarii,Lat,Long,Geometry,Polygon Points
AZT21S20,Pre-treatment,31318,2406W,AZT20,Bowie(South),< 2 miles,DLT2,Desert,2021,7/9/2021,0,65,0,0,35,67,0,43,0,23,32.2856552,-109.3405146,"(32°1723""N, 109°2029""W), (32°1723""N, 109°2026""W), (32°1719""N, 109°2026""W), (32°1719""N, 109°2029""W)","(32.289722, -109.341389), (32.289722, -109.340556), (32.288611, -109.340556), (32.288611, -109.341389), (32.289722, -109.341389)"
AZT21S48,Fall,31318,2406W,AZT20,Bowie(South),< 2 miles,DLT2,Desert,2021,10/9/2021,100,0,0,0,0,12,12,0,0,0,,,nan,"(32.289722, -109.341389), (32.289722, -109.340556), (32.288611, -109.340556), (32.288611, -109.341389), (32.289722, -109.341389)"
AZT22S20,Pre-treatment,31318,2406W,AZT20,Bowie(South),< 2 miles,DLT2,Desert,2022,6/17/2022,27,0,0,0,73,40,11,0,0,29,,,nan,"(32.289722, -109.341389), (32.289722, -109.340556), (32.288611, -109.340556), (32.288611, -109.341389), (32.289722, -109.341389)"
AZT22S49,Fall,31318,2406W,AZT20,Bowie(South),< 2 miles,DLT2,Desert,2022,,,,,,,18,,,,,,,nan,"(32.289722, -109.341389), (32.289722, -109.340556), (32.288611, -109.340556), (32.288611, -109.341389), (32.289722, -109.341389)"
AZT21S21,Pre-treatment,31318,2406,AZT21,Bowie(South),Adjacent,PA,Pecan,2021,7/9/2021,9,91,0,0,0,50,5,45,0,0,32.282271,-109.341483,"(32°1736""N, 109°2022W), (32°1735""N, 109°2016""W), (32°1710""N, 109°2016""W), (32°1710""N, 109°2022""W)","(32.293333, -109.339444), (32.293333, -109.337778), (32.286111, -109.337778), (32.286111, -109.339444), (32.293333, -109.339444)"
AZT21S49,Fall,31318,2406,AZT21,Bowie(South),Adjacent,PA,Pecan,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.293333, -109.339444), (32.293333, -109.337778), (32.286111, -109.337778), (32.286111, -109.339444), (32.293333, -109.339444)"
AZT22S21,Pre-treatment,31318,2406,AZT21,Bowie(South),Adjacent,PA,Pecan,2022,6/17/2022,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.293333, -109.339444), (32.293333, -109.337778), (32.286111, -109.337778), (32.286111, -109.339444), (32.293333, -109.339444)"
AZT21S22,Pre-treatment,31322,201E,AZT22,SanSimone,> 2 miles,FGT2,Fallow,2021,7/9/2021,80,15,0,0,5,100,80,15,0,5,32.2308447,-109.1376277,"(32°1456""N, 109°0914""W), (32°1456""N, 109°0910""W), (32°1453""N, 109°0910""W), (32°1453""N, 109°0914""W)","(32.248889, -109.153889), (32.248889, -109.152778), (32.248056, -109.152778), (32.248056, -109.153889), (32.248889, -109.153889)"
AZT21S50,Fall,31322,201E,AZT22,SanSimone,> 2 miles,FGT2,Fallow,2021,10/8/2021,100,0,0,0,0,1875,1875,0,0,0,,,nan,"(32.248889, -109.153889), (32.248889, -109.152778), (32.248056, -109.152778), (32.248056, -109.153889), (32.248889, -109.153889)"
AZT22S22,Pre-treatment,31322,201E,AZT22,SanSimone,> 2 miles,FGT2,Fallow,2022,,69,8,23,0,0,370,256,28,0,0,,,nan,"(32.248889, -109.153889), (32.248889, -109.152778), (32.248056, -109.152778), (32.248056, -109.153889), (32.248889, -109.153889)"
AZT22S51,Fall,31322,201E,AZT22,SanSimone,> 2 miles,FGT2,Fallow,2022,,,,,,,20,,,,,,,nan,"(32.248889, -109.153889), (32.248889, -109.152778), (32.248056, -109.152778), (32.248056, -109.153889), (32.248889, -109.153889)"
AZT21S23,Pre-treatment,31322,402,AZT23,SanSimone,> 2 miles,PGT2,Pecan,2021,7/9/2021,7,93,0,0,0,117,8,109,0,0,32.2308447,-109.1376277,"(32°1451""N, 109°1050""W), (32°1451""N, 109°1035""W), (32°1438""N, 109°1035""W), (32°1438""N, 109°1050""W)","(32.2475, -109.180556), (32.2475, -109.176389), (32.243889, -109.176389), (32.243889, -109.180556), (32.2475, -109.180556)"
AZT21S51,Fall,31322,402,AZT23,SanSimone,> 2 miles,PGT2,Pecan,2021,10/8/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.2475, -109.180556), (32.2475, -109.176389), (32.243889, -109.176389), (32.243889, -109.180556), (32.2475, -109.180556)"
AZT22S23,Pre-treatment,31322,402,AZT23,SanSimone,> 2 miles,PGT2,Pecan,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.2475, -109.180556), (32.2475, -109.176389), (32.243889, -109.176389), (32.243889, -109.180556), (32.2475, -109.180556)"
AZT22S52,Fall,31322,402,AZT23,SanSimone,> 2 miles,PGT2,Pecan,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.2475, -109.180556), (32.2475, -109.176389), (32.243889, -109.176389), (32.243889, -109.180556), (32.2475, -109.180556)"
AZT21S24,Pre-treatment,31322,402S,AZT24,SanSimone,> 2 miles,DGT2,Desert,2021,7/9/2021,15,75,5,0,5,28,4,21,0,1,32.252207,-109.1519918,"(32°1430""N, 109°1041""W), (32°1430""N, 109°1039""W), (32°1429""N, 109°1039""W), (32°1429""N, 109°1041""W)","(32.241667, -109.178056), (32.241667, -109.1775), (32.241389, -109.1775), (32.241389, -109.178056), (32.241667, -109.178056)"
AZT21S52,Fall,31322,402S,AZT24,SanSimone,> 2 miles,DGT2,Desert,2021,10/8/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.241667, -109.178056), (32.241667, -109.1775), (32.241389, -109.1775), (32.241389, -109.178056), (32.241667, -109.178056)"
AZT22S24,Pre-treatment,31322,402S,AZT24,SanSimone,> 2 miles,DGT2,Desert,2022,,21,57,21,0,0,14,3,8,0,0,,,nan,"(32.241667, -109.178056), (32.241667, -109.1775), (32.241389, -109.1775), (32.241389, -109.178056), (32.241667, -109.178056)"
AZT22S53,Fall,31322,402S,AZT24,SanSimone,> 2 miles,DGT2,Desert,2022,,,,,,,16,,,,,,,nan,"(32.241667, -109.178056), (32.241667, -109.1775), (32.241389, -109.1775), (32.241389, -109.178056), (32.241667, -109.178056)"
AZT21S25,Pre-treatment,31326,3201,AZT25,Willcox,< 2 miles,CLT2,Cotton,2021,6/30/2021,50,50,0,0,0,2,1,1,0,0,32.5206645,-110.0016476,"(32°3131""N, 110°0050""W), (32°3125""N, 110°0107""W), (32°3111""N, 110°0114""W), (32°3058""N, 110°0107""W), (32°3052""N, 110°0050""W), (32°3058, 110°0033""W), (32°3111""N, 110°0027""W), (32°3125""N, 110°0032""W)","(32.525278, -110.013889), (32.523611, -110.018611), (32.519722, -110.020556), (32.516111, -110.018611), (32.514444, -110.013889), (32.516111, -110.009167), (32.519722, -110.0075), (32.523611, -110.008889), (32.525278, -110.013889)"
AZT21S53,Fall,31326,3201,AZT25,Willcox,< 2 miles,CLT2,Cotton,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.525278, -110.013889), (32.523611, -110.018611), (32.519722, -110.020556), (32.516111, -110.018611), (32.514444, -110.013889), (32.516111, -110.009167), (32.519722, -110.0075), (32.523611, -110.008889), (32.525278, -110.013889)"
AZT22S25,Pre-treatment,31326,3201,AZT25,Willcox,< 2 miles,CLT2,Cotton,2022,,57,29,14,0,0,8,5,2,0,0,,,nan,"(32.525278, -110.013889), (32.523611, -110.018611), (32.519722, -110.020556), (32.516111, -110.018611), (32.514444, -110.013889), (32.516111, -110.009167), (32.519722, -110.0075), (32.523611, -110.008889), (32.525278, -110.013889)"
AZT22S54,Fall,31326,3201,AZT25,Willcox,< 2 miles,CLT2,Cotton,2022,8/10/2022,,,,,,7,,,,,,,nan,"(32.525278, -110.013889), (32.523611, -110.018611), (32.519722, -110.020556), (32.516111, -110.018611), (32.514444, -110.013889), (32.516111, -110.009167), (32.519722, -110.0075), (32.523611, -110.008889), (32.525278, -110.013889)"
AZT21S26,Pre-treatment,31329,1803,AZT26,Willcox,Treated,PisT,Pistachio,2021,6/30/2021,0,100,0,0,0,17,0,17,0,0,32.4748163,-109.9292402,"(32°2907""N, 109°5639""W), (32°2907""N, 109°5610""W), (32°2854""N, 109°5610""W), (32°2854""N, 109°5639""W)","(32.485278, -109.944167), (32.485278, -109.936111), (32.481667, -109.936111), (32.481667, -109.944167), (32.485278, -109.944167)"
AZT21S54,Fall,31329,1803,AZT26,Willcox,Treated,PisT,Pistachio,2021,10/9/2021,0,100,0,0,0,8,0,8,0,0,,,nan,"(32.485278, -109.944167), (32.485278, -109.936111), (32.481667, -109.936111), (32.481667, -109.944167), (32.485278, -109.944167)"
AZT22S26,Pre-treatment,31329,1803,AZT26,Willcox,Treated,PisT,Pistachio,2022,,0,57,43,0,0,200,0,114,0,0,,,nan,"(32.485278, -109.944167), (32.485278, -109.936111), (32.481667, -109.936111), (32.481667, -109.944167), (32.485278, -109.944167)"
AZT22S55,Fall,31329,1803,AZT26,Willcox,Treated,PisT,Pistachio,2022,8/10/2022,,,,,,7,,,,,,,nan,"(32.485278, -109.944167), (32.485278, -109.936111), (32.481667, -109.936111), (32.481667, -109.944167), (32.485278, -109.944167)"
AZT21S27,Pre-treatment,31329,701E,AZT27,Willcox,Adjacent,CottA,Cotton,2021,6/30/2021,0,0,50,0,50,2,0,0,0,1,32.4748163,-109.9292402,"(32°2932""N, 109°5624""W), (32°2929""N, 109°5614""W), (32°2920""N, 109°5610""W), (32°2910""N, 109°5614""W), (32°2907""N, 109°5624""W)","(32.492222, -109.94), (32.491389, -109.937222), (32.488889, -109.936111), (32.486111, -109.937222), (32.485278, -109.94), (32.492222, -109.94)"
AZT21S55,Fall,31329,701E,AZT27,Willcox,Adjacent,CottA,Cotton,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.492222, -109.94), (32.491389, -109.937222), (32.488889, -109.936111), (32.486111, -109.937222), (32.485278, -109.94), (32.492222, -109.94)"
AZT22S27,Pre-treatment,31329,701E,AZT27,Willcox,Adjacent,CottA,Cotton,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.492222, -109.94), (32.491389, -109.937222), (32.488889, -109.936111), (32.486111, -109.937222), (32.485278, -109.94), (32.492222, -109.94)"
AZT22S56,Fall,31329,701E,AZT27,Willcox,Adjacent,CottA,Cotton,2022,8/10/2022,,,,,,2,,,,,,,nan,"(32.492222, -109.94), (32.491389, -109.937222), (32.488889, -109.936111), (32.486111, -109.937222), (32.485278, -109.94), (32.492222, -109.94)"
AZT21S28,Pre-treatment,31329,701W,AZT28,Willcox,Adjacent,FA,Fallow,2021,6/30/2021,ND,ND,ND,ND,ND,0,0,0,0,0,32.4898773,-109.9280589,"(32°2932""N, 109°5624""W), (32°2929""N, 109°5634""W), (32°2920""N, 109°5639""W), (32°2910""N, 109°5634""W), (32°2907""N, 109°5624""W)","(32.492222, -109.94), (32.491389, -109.942778), (32.488889, -109.944167), (32.486111, -109.942778), (32.485278, -109.94), (32.492222, -109.94)"
AZT21S56,Fall,31329,701W,AZT28,Willcox,Adjacent,FA,Fallow,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.492222, -109.94), (32.491389, -109.942778), (32.488889, -109.944167), (32.486111, -109.942778), (32.485278, -109.94), (32.492222, -109.94)"
AZT22S28,Pre-treatment,31329,701W,AZT28,Willcox,Adjacent,FA,Fallow,2022,,67,13,20,0,0,23,16,3,0,0,,,nan,"(32.492222, -109.94), (32.491389, -109.942778), (32.488889, -109.944167), (32.486111, -109.942778), (32.485278, -109.94), (32.492222, -109.94)"
AZT22S57,Fall,31329,701W,AZT28,Willcox,Adjacent,FA,Fallow,2022,8/10/2022,,,,,,78,,,,,,,nan,"(32.492222, -109.94), (32.491389, -109.942778), (32.488889, -109.944167), (32.486111, -109.942778), (32.485278, -109.94), (32.492222, -109.94)"
,,31318,2407,,,,,,,,,,,,,,,,,,32.282271,-109.341483,"(32°1656""N, 109°2054""W), (32°1656""N, 109°2043""W), (32°1645""N, 109°2043""W), (32°1645""N, 109°2054""W)","(32.282222, -109.348333), (32.282222, -109.345278), (32.279167, -109.345278), (32.279167, -109.348333), (32.282222, -109.348333)"
